   0.0000000       0.0000000    
  0.10000000      9.00000054E-03
  0.20000000      7.20000044E-02
  0.30000001      0.24300003    
  0.40000001      0.57600003    
  0.50000000       1.1250000    
  0.60000002       1.9440002    
  0.70000005       3.0870008    
  0.80000007       4.6080012    
  0.90000010       6.5610018    
   1.0000001       9.0000029    
   1.1000001       11.979005    
   1.2000002       15.552007    
   1.3000002       19.773008    
   1.4000002       24.696011    
   1.5000002       30.375015    
   1.6000003       36.864017    
   1.7000003       44.217022    
   1.8000003       52.488029    
   1.9000003       61.731033    
   2.0000002       72.000023    
   2.1000001       83.349014    
   2.2000000       95.832008    
   2.3000000       109.50299    
   2.3999999       124.41598    
   2.4999998       140.62495    
   2.5999997       158.18393    
   2.6999996       177.14691    
   2.7999995       197.56790    
   2.8999994       219.50085    
   2.9999993       242.99983    
   3.0999992       268.11880    
   3.1999991       294.91174    
   3.2999990       323.43268    
   3.3999989       353.73566    
   3.4999988       385.87463    
   3.5999987       419.90353    
   3.6999986       455.87650    
   3.7999985       493.84744    
   3.8999984       533.87036    
   3.9999983       575.99927    
   4.0999985       620.28827    
   4.1999984       666.79120    
   4.2999983       715.56213    
   4.3999982       766.65503    
   4.4999981       820.12396    
   4.5999980       876.02289    
   4.6999979       934.40576    
   4.7999978       995.32666    
   4.8999977       1058.8395    
   4.9999976       1124.9984    
